物料代號,供應商簡稱,品名規格,單價,幣別,單位,預設收貨廠區
FREIGHT,日電貿,運費FREIGHT,0,TWD,SET,新信路生產基地
ME4-01-HWS1500-7,TDK,電源供應器HWS 1500-7,27716,TWD,台,新信路生產基地
07-3M-442L-3,樺島,3M#44*2L(58.2*13.7mm) 1470pcs/批,882,TWD,PCS,新信路生產基地
07-3M-442L-3-DIE,樺島,3M#44*2L(58.2*13.7mm) 刀模,480,TWD,SET,新信路生產基地
07-CONS-CDPI-6026D-5.0mm*25M,樺島,CDPI-6026D-5.0mm*25M- CDPI-6026D(雙面PI),220,TWD,PCS,中華西路總部
07-M-3M#600(12.7mm),樺島,3M#600(12.7mm),120,TWD,SET,新信路生產基地
FREIGHT,樺島,"樺島運費(未滿NT$,1000)",80,TWD,SET,新信路生產基地
T082-09A-MRZI-OLC20x30,樺島,07-09A-MRZI-OLC20x30(MRZI-OLC20x30油力士杯,400,TWD,SET,中華西路總部
042-2SB1198K,光倫,2SB1198KR-T146-Pb Free,0.0368,USD,PCS,中華西路總部
042-2SC3324BL,光倫,"2SC3324BL(TE85L,F)",1.9,TWD,PCS,中華西路總部
042-2SB1198K,偉詮,2SB1198KR-T146-Pb Free,1.26,TWD,PCS,中華西路總部
07-E-AD2DBB_V1.5,良達,E-AD2DBB_V1.5 2L 3OZ 2.0T,35000,TWD,SET,新信路生產基地
07-MASTER_BOARD V211,良達,MASTER_BOARD V211雙層板1.6T 2OZ,17600,TWD,SET,新信路生產基地
07-SLAVER_BOARD V29B,良達,SLAVER_BOARD V29b雙層板1.6T 2OZ,26000,TWD,SET,新信路生產基地
07-CLIP-PIN,吳宗鑌,測試座銅片,3,TWD,PCS,新信路生產基地
07-EQ-TranF-L-MRZI150-24V-PUNCH,吳宗鑌,MRZI150-24V電感沖型機,28000,TWD,SET,中華西路總部
07-MRZI100-I150-MP-PIN-PUNCH,吳宗鑌,MRZI100-I150鋁基板沖PIN模具,6000,TWD,SET,新信路生產基地
07-MRZI75-MP-PIN-PUNCH,吳宗鑌,MRZI75 鋁基板PIN沖模具,9500,TWD,SET,新信路生產基地
07-MRZI75-MP-PIN-PUNCH-1,吳宗鑌,MRZI75 鋁基板PIN沖模具-1,9500,TWD,SET,新信路生產基地
07S-MRZI100-I150-MP-PIN-3.5K,吳宗鑌,MRZI100-I150鋁基沖PIN模具修改,3500,TWD,SET,新信路生產基地
07S-MRZI75-MP-PIN-PUNCH-2K,吳宗鑌,MRZI75 鋁基板PIN沖模具修改,2000,TWD,SET,新信路生產基地
